ID,SMILES,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,a_acid,a_aro,a_base,a_nBr,a_nCl,a_nF,a_nI,a_nN,a_nO,b_rotR,chiral,FCharge
DBB1,S(=O)(=O)(O)c1c2c(c(N=Nc3n(-c4ccc(S(=O)(=O)O)cc4)nc(C(=O)OCC)c3O)cc1)cccc2,11,3,3.8166001,197.81,546.539,0.090909094,37,4,15,7,0,0,3,1,4,0,21,0,0,0,0,0,4,9,0.2,0,0
DBB2,O(C)c1c(O)cc(C2Oc3c(c(OC4C(O)C(O)C(O)C(CO)O4)cc(O)c3)C(=O)C2)cc1,11,6,-0.0083999997,175.37,464.423,0.40909091,33,4,11,5,0,2,2,0,2,0,12,0,0,0,0,0,0,11,0.1388889,6,0
DBB3,O(C)c1c(O)cc(C=2Oc3c(c(O)c(c(O)c3)C3C(O)C(O)C(O)C(CO)O3)C(=O)C=2)cc1,11,7,0.1003,190.28,462.40701,0.31818181,33,4,11,4,0,1,2,1,3,0,12,0,0,0,0,0,0,11,0.11111111,5,0
DBB4,O(C)c1c(OC)c(OC)c2OC(c3cc(OC)c(OC)cc3)=C(OC)C(=O)c2c1OC,9,0,3.5202,94.82,432.42499,0.31818181,31,3,9,8,0,0,2,1,3,0,12,0,0,0,0,0,0,9,0.24242425,0,0
DBB5,O=C(O)C(O)(C(C(=O)O)CCCCCCCCCCCCCCCC)CC(=O)O,4,4,4.849,132.13,416.55499,0.86363637,29,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.71428573,2,0
DBB6,O=C(O)C1C(O)C(O)C(O)C(OC2=C(c3cc(OC)c(O)cc3)Oc3c(c(O)cc(O)c3)C2=O)O1,12,7,-0.1436,216.58,492.38901,0.27272728,35,4,13,5,0,1,2,1,3,0,12,0,0,0,0,0,0,13,0.13157895,5,0
DBB7,O=C(OC1C(c2cc(O)c(O)cc2)Oc2c(c(O)cc(O)c2)C1)c1cc(O)c(O)c(O)c1,10,7,2.5276,177.14,442.37601,0.13636364,32,4,10,3,0,1,3,0,3,0,18,0,0,0,0,0,0,10,0.11428571,2,0
DBB8,O=C(Oc1cc(O)c2c(OC(c3cc(O)c(O)cc3)C(O)C2)c1)c1cc(O)c(O)c(O)c1,10,7,2.1765001,177.14,442.37601,0.13636364,32,4,10,3,0,1,3,0,3,0,18,0,0,0,0,0,0,10,0.11428571,2,0
DBB9,O(C)c1c(O)c(OC)cc(-c2c(OC3C(O)C(O)C(CO)O3)cc3c(O)cc(O)cc3[o+]2)c1,10,6,1.3327,169.60001,463.41501,0.31818181,33,4,11,6,0,1,2,1,3,0,16,1,0,0,0,0,0,11,0.16666667,4,1
DBB10,O(C)c1c(OC2C(O)C(O)C(O)C(CO)O2)cc(C=2C(=O)c3c(O)cc(O)cc3OC=2)cc1,11,6,0.058499999,179.28,462.40701,0.31818181,33,4,11,5,0,1,2,1,3,0,12,0,0,0,0,0,0,11,0.1388889,5,0
DBB11,O=C(OCCCCCCCCCCCCCCCCCC)C=CC(=O)O,3,1,6.4319,63.599998,368.55801,0.81818181,26,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.80000001,0,0
DBB12,O(C)c1c(O)ccc(-c2c(OC3C(O)C(O)C(O)C(CO)O3)cc3c(O)cc(O)cc3[o+]2)c1,10,7,0.685,180.60001,463.41501,0.31818181,33,4,11,5,0,1,2,1,3,0,16,1,0,0,0,0,0,11,0.1388889,5,1
